Team Name,Team,Team Description
Coding Club,Innovative Teams,"In today’s rapidly changing environment, programming skills are essential tools that can be utilized and incorporated into various fields and domains. Hence, it becomes absolutely essential to equip young minds with such skills. Coding Club aims to establish a coding culture on campus, reaching every student passionate about coding. The club’s motto is to Create-Build-Innovate. The Coding Club has multiple verticals for any member to pursue their interests: 1. WebDevelopment Vertical 

Competitive Programming Vertical 
Machine Learning Vertical 
Cybersecurity Vertical 
Blockchain Vertical 
We host multiple hackathons, CTFs, workshops, and other events along with many industry sponsorships, which allow us to build a better coding culture in RVCE. We encourage every member to be active and participate in various events and activities to hone their skills in a well-rounded manner before they graduate from the college. We also maintain a closely bonded alumni network to support one another as we progress in life."
Frequency Club,Innovative Teams,"Frequency Club is the official technical innovation hub of RVCE, dedicated to fostering creativity, building real-world solutions, and boosting technical expertise by providing a platform for both experienced tech enthusiasts and curious beginners. From Machine Learning to Robotics, Web Development to IoT, we celebrate all forms of technology and constantly push boundaries through workshops, projects, and competitions. More than just code, we create innovations that leave lasting impact—in technology, and in society."
Garuda,Innovative Teams,"Project Garuda is the official Super Mileage Club of RV College of Engineering (RVCE), Bengaluru. Established in 2006, it holds the distinction of being India’s first student-driven super mileage team.The team is dedicated to the design, fabrication, and testing of ultra-energy-efficient vehicles, with a strong focus on developing sustainable, green, and innovative mobility solutions.In line with the global shift towards clean energy, the vehicles developed by Project Garuda are fully electric, combining advanced engineering with environmentally conscious design."
Jatayu,Innovative Teams,"Project Jatayu, the student autonomous UAV team of RVCE, was the brainchild of six Electronics and Communication Engineering students at RVCE. Founded in 2009, it was among the pioneering teams of its kind in India. The team’s motto has been to develop autonomous, self-thinking drones capable of performing various tasks without human intervention.Project Jatayu was initially established with the goal of participating in the autonomy-based international event Australian Outback, held in Australia. Over time, the team’s focus shifted, and its flagship event became the Society of Unmanned Aerial Systems (SUAS) competition, organized by the Association of Unmanned Vehicle Systems International (AUVSI).The team is a multidisciplinary collaboration, bringing together students from diverse engineering backgrounds such as Mechanical Engineering, Computer Science, Information Science, Electronics and Communication, Electrical Engineering, Telecommunication Engineering, Aerospace Engineering, Civil Engineering, and Industrial Engineering. Each member contributes expertise specific to their field, ensuring a holistic approach to UAV development. The final drones are a seamless integration of efforts from all departments, reflecting the team’s robust organizational structure and commitment to excellence in unmanned aerial systems.
"
Krushi,Innovative Teams,"No other farm machine of this century has had such a profound effect on a country’s agriculture as the farm tractor.” Farming is a profession of hope, and tractors lie at its very roots. Team KRUSHI is here to strengthen those roots by making farmers’ work trouble-free, simple, and safe. For farmers, Team KRUSHI aims to be a source of practical “enlightenment”: student engineers who listen to field needs, design with empathy, and deliver solutions that truly help. As an interdisciplinary club at RV College of Engineering, Team KRUSHI designs, prototypes, and field-validates affordable agricultural technologies combining hands-on fabrication, systems-level design, and direct engagement with farmers to produce robust, locally serviceable innovations that reduce labour, improve safety, and lower operating costs for smallholder users."
Helios,Innovative Teams,"Founded in 2006 at RV College of Engineering, Bengaluru, Team Helios Racing has established itself as a powerhouse of innovation and engineering excellence in the field of off-road motorsports. With a legacy spanning nearly two decades, our team has continually pushed the boundaries of design, performance, and technology.Over the years, we have designed and built 12+ high-performance All-Terrain Vehicles (ATVs), earning accolades such as 1st place at the national level and 6th in Best Design internationally. Our 16-year legacy in mBAJA reflects our deep-rooted expertise in mechanical engineering and endurance racing, shaped through relentless learning, iteration, and competition.In 2023, we embarked on a transformative journey by transitioning from mBAJA to eBAJA, embracing the future of sustainable mobility. This pivotal shift marked our entry into the electric vehicle domain, where performance meets purpose. eBAJA SAEINDIA challenges student engineers to develop electric ATVs that combine innovation, efficiency, and environmental responsibility.2026 marks our third year in eBAJA and we continue to build, applying our proven engineering principles to cutting-edge EV technology. Our focus remains clear: to lead the charge in creating high-performance, all-electric off-road vehicles that represent the future of mobility."
SPARK,Innovative Teams,"SPARK (Study through Projects and Activities for Renewing Knowledge) is the official IUCEE Student Chapter at RVCE. It provides an innovative platform for students to learn beyond traditional classroom boundaries, fostering skill development, knowledge sharing, and real-world problem-solving. With a mission to enrich the student community through a blend of technical and cultural engagement, SPARK nurtures curiosity, creativity, and collaboration. Through workshops, expert talks, and interactive events, the club promotes critical thinking, innovation, and holistic growth. As a part of the IUCEE ecosystem, SPARK also facilitates inter-institutional collaborations across India, offering students exposure to diverse domains and perspectives."
Google Developer Groups,Innovative Teams,"Google Developer Groups on Campus (GDG) is a global community of developers that’s powered by Google, and driven by innovation.As one of the leading developer communities on campus, GDG RVCE serves as a platform for students to explore, collaborate, and build technology-driven solutions with real-world impact.At GDG RVCE, we bridge the gap between learning and application. Through workshops, hackathons, study jams, and research-driven initiatives, we empower members to enhance their technical and professional skills while staying connected with the worldwide Google Developer network.Our members collaborate across domains such as Machine Learning, Open-Source Development, Competitive Programming, and Research, developing impactful projects and fostering a culture of curiosity and problem-solving.The club embodies Google’s ethos of learning and building great things, and stands as a space where creativity meets technical excellence. As we continue to evolve, GDG RVCE remains committed to nurturing the next generation of innovators and changemakers."
Women in Cloud,Innovative Teams,"First of its kind socio-technical team at RVCE.The mission of the Women in Cloud Network-Student Chapter is to create a vibrant community that empowers women in cloud computing and technology through mentorship, education, and networking opportunities. By fostering inclusivity, collaboration, and professional growth, we aim to shape a future where women are integral to the evolution of the tech industry and society overall. "
ACM,Innovative Teams,"The ACM RVCE Student Chapter is the official student body of the Association for Computing Machinery (ACM) at R.V. College of Engineering, Bengaluru. As part of the world’s largest computing society, we connect students to a global network of computing professionals, researchers, and innovators across over 100 countries.Our ACM Connection:
Affiliated with ACM International and the ACM India Council
Access to the ACM Digital Library featuring extensive computing research and publications
Opportunities to participate in ACM national competitions and conferences
Connection to ACM Special Interest Groups (SIGs) covering diverse computing disciplines"
